epoch,step,train_mse,tuning_dockq_mae,tuning_hit_rate_023,tuning_rank_regret,tuning_rank_spearman,val_loss,val_pearson_corr,val_rank_regret,val_rank_spearman,val_spearman_corr
21,505,0.09889250993728638,,,,,,,,,
22,528,,0.2470007985830307,0.6845410466194153,0.11779759079217911,-0.08501376211643219,0.09416653215885162,0.5764720439910889,0.02874894253909588,0.7222222089767456,0.5870102643966675
22,528,0.08451219648122787,,,,,,,,,
23,551,,0.23788362741470337,0.6835748553276062,0.11252769827842712,-0.032135818153619766,0.09722133725881577,0.5788041353225708,0.02874894253909588,0.7222222089767456,0.5838580131530762
23,551,0.08954640477895737,,,,,,,,,
24,574,,0.276448130607605,0.6826087236404419,0.1152554377913475,-0.040420178323984146,0.10209125280380249,0.5578083395957947,0.03156936913728714,0.6666666865348816,0.5809237360954285
24,574,0.10202760994434357,,,,,,,,,
25,597,,0.2304684817790985,0.6830917596817017,0.1234801709651947,-0.07705490291118622,0.1050623282790184,0.5732556581497192,0.03156936913728714,0.6666666865348816,0.581510603427887
25,597,0.09398970752954483,,,,,,,,,
26,620,,0.22467440366744995,0.6845410466194153,0.12494722753763199,-0.12534695863723755,0.09346961230039597,0.6075251698493958,0.02874894253909588,0.7222222089767456,0.591218888759613
26,620,0.10218297690153122,,,,,,,,,
27,643,,0.25092536211013794,0.6845410466194153,0.10425669699907303,-0.007248830050230026,0.09203942865133286,0.6028943061828613,0.02874894253909588,0.7222222089767456,0.5835897326469421
27,643,0.08674858510494232,,,,,,,,,
