epoch,step,train_mse,tuning_rank_regret,tuning_rank_spearman,val_loss,val_pearson_corr,val_rank_regret,val_rank_spearman,val_spearman_corr
96,2230,,0.0935111790895462,0.3097069561481476,0.08312010765075684,0.7465251088142395,0.02874894253909588,0.7777777910232544,0.7886384129524231
96,2230,0.05585501715540886,,,,,,,
97,2253,,0.09241533279418945,0.29890111088752747,0.07913041114807129,0.757737934589386,0.02874894253909588,0.8333333134651184,0.7939369082450867
97,2253,0.06714627891778946,,,,,,,
98,2276,,0.09353800117969513,0.2748473882675171,0.056926023215055466,0.7959895133972168,0.02874894253909588,0.8333333134651184,0.7876994013786316
98,2276,0.05653012543916702,,,,,,,
99,2299,,0.0935225635766983,0.2677655816078186,0.053629204630851746,0.8078381419181824,0.0,0.9444444179534912,0.7944064140319824
99,2299,0.06810297071933746,,,,,,,
100,2322,,0.08014314621686935,0.28431013226509094,0.049845509231090546,0.8129951357841492,0.02874894253909588,0.8333333134651184,0.804232120513916
100,2322,0.043111804872751236,,,,,,,
